time,open,high,low,close,Volume
1993-01-29,43.9688,43.96899,43.75,43.938,1003200.0
1993-02-01,43.96875,44.25,43.96875,44.25,480500.0
1993-02-02,44.21875,44.375,44.125,44.34375,201300.0
1993-02-03,44.40625,44.84375,44.375,44.8125,529400.0
1993-02-04,44.96875,45.09375,44.875,45.0,531500.0
1993-02-05,44.96875,45.0625,44.71875,44.96875,492100.0
1993-02-08,44.96875,45.125,44.90625,44.96875,596100.0
1993-02-09,44.8125,44.8125,44.5625,44.65625,122100.0
1993-02-10,44.65625,44.75,44.53125,44.71875,379600.0
1993-02-11,44.78125,45.125,44.78125,44.9375,19500.0
1993-02-12,44.875,44.875,44.59375,44.59375,42500.0
1993-02-16,44.46875,44.46875,43.40625,43.46875,374800.0
1993-02-17,43.46875,43.53125,43.28125,43.4375,210900.0
1993-02-18,43.9375,43.9375,42.8125,43.40625,378100.0
1993-02-19,43.40625,43.5625,43.34375,43.5625,34900.0
1993-02-22,43.6875,43.78125,43.5625,43.71875,513600.0
1993-02-23,43.84375,43.875,43.46875,43.6875,373700.0
1993-02-24,43.71875,44.25,43.71875,44.25,26300.0
1993-02-25,44.21875,44.375,44.125,44.34375,44500.0
1993-02-26,44.4375,44.4375,44.1875,44.40625,66200.0
1993-03-01,44.5625,44.5625,44.21875,44.28125,66500.0
1993-03-02,44.3125,44.9375,44.25,44.9375,182400.0
1993-03-03,45.0,45.15625,44.9375,45.125,280100.0
1993-03-04,45.1875,45.1875,44.875,44.875,89500.0
1993-03-05,44.9375,45.125,44.71875,44.75,40000.0
1993-03-08,44.84375,45.75,44.84375,45.75,50800.0
1993-03-09,45.65625,45.6875,45.5,45.59375,169300.0
1993-03-10,45.59375,45.6875,45.40625,45.6875,194400.0
1993-03-11,45.71875,45.84375,45.5,45.5625,70900.0
1993-03-12,45.1875,45.21875,44.8125,45.09375,643600.0
1993-03-15,45.0625,45.3125,45.0625,45.3125,310800.0
1993-03-16,45.3125,45.4375,45.3125,45.3125,30800.0
1993-03-17,45.25,45.25,44.96875,45.03125,21800.0
1993-03-18,45.21875,45.5,45.21875,45.3125,59300.0
1993-03-19,45.28125,45.28125,45.03125,45.03125,66900.0
1993-03-22,44.59375,44.875,44.5625,44.78125,183400.0
1993-03-23,44.90625,44.9375,44.8125,44.875,55200.0
1993-03-24,44.8125,45.0625,44.59375,44.875,37200.0
1993-03-25,44.90625,45.25,44.84375,45.15625,110100.0
1993-03-26,45.125,45.15625,44.875,44.90625,101500.0
1993-03-29,44.9375,45.3125,44.9375,45.09375,87100.0
1993-03-30,45.15625,45.21875,45.09375,45.21875,56000.0
1993-03-31,45.34375,45.46875,45.1875,45.1875,111600.0
1993-04-01,45.25,45.25,44.9375,45.03125,129500.0
1993-04-02,44.65625,44.65625,44.09375,44.09375,59400.0
1993-04-05,44.4375,44.4375,44.1875,44.3125,172200.0
1993-04-06,44.40625,44.40625,44.0625,44.1875,129700.0
1993-04-07,44.25,44.34375,44.15625,44.34375,28000.0
1993-04-08,44.53125,44.53125,44.09375,44.28125,180800.0
1993-04-12,44.71875,44.9375,44.65625,44.90625,348500.0
1993-04-13,44.875,45.15625,44.84375,45.0,146100.0
1993-04-14,45.03125,45.0625,44.90625,44.9375,119600.0
1993-04-15,44.90625,45.03125,44.75,44.9375,148600.0
1993-04-16,44.96875,45.03125,44.875,44.9375,47900.0
1993-04-19,44.9375,45.0625,44.71875,44.75,157000.0
1993-04-20,44.6875,44.75,44.25,44.53125,279500.0
1993-04-21,44.625,44.625,44.375,44.5,67900.0
1993-04-22,44.3125,44.6875,43.9375,43.9375,97700.0
1993-04-23,43.84375,43.96875,43.6875,43.75,106000.0
1993-04-26,43.78125,43.9375,43.28125,43.40625,62600.0
1993-04-27,43.34375,43.875,43.34375,43.875,156800.0
1993-04-28,43.8125,43.90625,43.71875,43.78125,85900.0
1993-04-29,43.875,43.96875,43.625,43.96875,85000.0
1993-04-30,44.125,44.28125,44.03125,44.03125,88500.0
1993-05-03,44.09375,44.3125,43.90625,44.3125,80500.0
1993-05-04,44.40625,44.625,44.34375,44.46875,149100.0
1993-05-05,44.46875,44.75,44.46875,44.59375,109000.0
1993-05-06,44.53125,44.5625,44.40625,44.4375,54700.0
1993-05-07,44.46875,44.46875,44.28125,44.34375,68000.0
1993-05-10,44.40625,44.6875,44.40625,44.4375,113900.0
1993-05-11,44.4375,44.625,44.3125,44.625,42600.0
1993-05-12,44.4375,44.59375,44.4375,44.5625,31000.0
1993-05-13,44.375,44.375,44.0,44.03125,129100.0
1993-05-14,44.03125,44.15625,43.96875,44.0,63500.0
1993-05-17,44.125,44.15625,43.9375,44.15625,34000.0
1993-05-18,44.1875,44.21875,43.96875,44.125,105200.0
1993-05-19,44.125,45.03125,43.84375,45.03125,50200.0
1993-05-20,45.03125,45.15625,44.9375,45.15625,98200.0
1993-05-21,45.1875,45.25,44.71875,44.75,221400.0
1993-05-24,44.84375,45.09375,44.84375,44.9375,30500.0
1993-05-25,45.125,45.125,45.03125,45.03125,191800.0
1993-05-26,45.15625,45.625,45.125,45.59375,102400.0
1993-05-27,45.65625,45.65625,45.375,45.4375,53800.0
